UA,UANAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
16075,"Cherryville, NC Urban Cluster",43140,"Shelby, NC Micro Area",2,266,120,965373,965373,6340,2873,15154881,15123281,98078,43373,1212764639,1202408392,4.2,4.18,6.37,6.38,.27,.28,.08,.08
16102,"Chesapeake Beach, MD Urban Cluster",12580,"Baltimore-Towson, MD Metro Area",1,677,307,3048058,3048058,23700,9229,66262593,65848963,2710489,1132251,8041974873,6737801281,2.86,3.33,4.6,4.63,.02,.03,.04,.05
16102,"Chesapeake Beach, MD Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1,23023,8922,63214535,62800905,23700,9229,66262593,65848963,5582170,2213752,15618609007,14499580792,97.14,96.67,95.4,95.37,.41,.4,.4,.43
16140,"Chesnee, SC Urban Cluster",23500,"Gaffney, SC Micro Area",2,710,302,2309409,2309409,3003,1380,10779387,10751856,55342,23997,1028686708,1016981703,23.64,21.88,21.42,21.48,1.28,1.26,.22,.23
16140,"Chesnee, SC Urban Cluster",43900,"Spartanburg, SC Metro Area",1,2293,1078,8469978,8442447,3003,1380,10779387,10751856,284307,122628,2121828822,2092518606,76.36,78.12,78.58,78.52,.81,.88,.4,.4
16156,"Chester, IL Urban Cluster",99999,"Not in a metro/micro area",,8450,2127,12898245,12866488,8450,2127,12898245,12866488,,,,,100,100,100,100,,,,
16171,"Chester, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",1,5691,2233,9363845,9360425,5691,2233,9363845,9360425,670301,255663,4309719428,4162928487,100,100,100,100,.85,.87,.22,.22
16183,"Chester, SC Urban Cluster",16900,"Chester, SC Micro Area",2,9351,4233,17932427,17920094,9351,4233,17932427,17920094,33140,14701,1518156768,1503894983,100,100,100,100,28.22,28.79,1.18,1.19
16210,"Chestertown, MD Urban Cluster",12580,"Baltimore-Towson, MD Metro Area",1,1616,748,3869110,3584817,7153,3237,10939133,10214248,2710489,1132251,8041974873,6737801281,22.59,23.11,35.37,35.1,.06,.07,.05,.05
16210,"Chestertown, MD Urban Cluster",99999,"Not in a metro/micro area",,5537,2489,7070023,6629431,7153,3237,10939133,10214248,,,,,77.41,76.89,64.63,64.9,,,,
16223,"Chetek, WI Urban Cluster",99999,"Not in a metro/micro area",,2830,1618,7832246,7362868,2830,1618,7832246,7362868,,,,,100,100,100,100,,,,
16237,"Cheyenne, WY Urbanized Area",16940,"Cheyenne, WY Metro Area",1,73588,33018,91273937,90991601,73588,33018,91273937,90991601,91738,40462,6960749322,6956479515,100,100,100,100,80.22,81.6,1.31,1.31
16264,"Chicago, IL--IN Urbanized Area",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",1,8608208,3459257,6432336248,6326686332,8608208,3459257,6432336248,6326686332,9461105,3797247,24808450390,18639638965,100,100,100,100,90.99,91.1,25.93,33.94
16291,"Chickasha, OK Urban Cluster",36420,"Oklahoma City, OK Metro Area",1,15739,7224,26036459,25939917,15739,7224,26036459,25939917,1252987,539077,14456578037,14274866599,100,100,100,100,1.26,1.34,.18,.18
16318,"Chico, CA Urbanized Area",17020,"Chico, CA Metro Area",1,98176,42052,89257748,89120274,98176,42052,89257748,89120274,220000,95835,4343748996,4238423238,100,100,100,100,44.63,43.88,2.05,2.1
16372,"Childress, TX Urban Cluster",99999,"Not in a metro/micro area",,4707,2295,7010842,7010842,4707,2295,7010842,7010842,,,,,100,100,100,100,,,,
16426,"Chillicothe, MO Urban Cluster",99999,"Not in a metro/micro area",,9633,4175,19571631,19545794,9633,4175,19571631,19545794,,,,,100,100,100,100,,,,
16453,"Chillicothe, OH Urban Cluster",17060,"Chillicothe, OH Micro Area",2,32263,12763,45063635,44686001,32263,12763,45063635,44686001,78064,32148,1794925534,1784988075,100,100,100,100,41.33,39.7,2.51,2.5
16480,"Chilton, WI Urban Cluster",11540,"Appleton, WI Metro Area",1,3590,1669,4829207,4802661,3590,1669,4829207,4802661,225666,92844,2697901021,2475405126,100,100,100,100,1.59,1.8,.18,.19
16534,"Chinle, AZ Urban Cluster",99999,"Not in a metro/micro area",,3407,1090,8801008,8765093,3407,1090,8801008,8765093,,,,,100,100,100,100,,,,
16561,"Chino Valley, AZ Urban Cluster",39140,"Prescott, AZ Metro Area",1,10783,4810,32180847,32180847,10783,4810,32180847,32180847,211033,110432,21051266664,21039764981,100,100,100,100,5.11,4.36,.15,.15
16588,"Chipley, FL Urban Cluster",99999,"Not in a metro/micro area",,3846,1752,9706690,9706690,3846,1752,9706690,9706690,,,,,100,100,100,100,,,,
16615,"Chisholm, MN Urban Cluster",20260,"Duluth, MN-WI Metro Area",1,4622,2344,4181981,4112673,4622,2344,4181981,4112673,279771,141539,23865346621,21789357707,100,100,100,100,1.65,1.66,.02,.02
16642,"Chittenango, NY Urban Cluster",45060,"Syracuse, NY Metro Area",1,5083,2084,5495912,5491629,5083,2084,5495912,5491629,662577,287712,7197534921,6176814472,100,100,100,100,.77,.72,.08,.09
16696,"Chowchilla, CA Urban Cluster",31460,"Madera-Chowchilla, CA Metro Area",1,11843,4248,11818184,11818184,11843,4248,11818184,11818184,150865,49140,5576940489,5534982985,100,100,100,100,7.85,8.64,.21,.21
16750,"Christiansted, VI Urban Cluster",99999,"Not in a metro/micro area",,46601,22419,91317189,91219580,46601,22419,91317189,91219580,,,,,100,100,100,100,,,,
16777,"Christopher, IL Urban Cluster",99999,"Not in a metro/micro area",,3610,1731,7434994,7414270,3610,1731,7434994,7414270,,,,,100,100,100,100,,,,
16831,"Church Point, LA Urban Cluster",18940,"Crowley, LA Micro Area",2,4588,1937,6905878,6905878,4588,1937,6905878,6905878,61773,25387,1702799367,1696750566,100,100,100,100,7.43,7.63,.41,.41
16858,"Churchville, NY Urban Cluster",12860,"Batavia, NY Micro Area",2,1226,508,1848664,1848664,3134,1315,4951819,4939886,60079,25589,1282840237,1276697637,39.12,38.63,37.33,37.42,2.04,1.99,.14,.14
16858,"Churchville, NY Urban Cluster",40380,"Rochester, NY Metro Area",1,1908,807,3103155,3091222,3134,1315,4951819,4939886,1054323,455397,12613210563,7583793600,60.88,61.37,62.67,62.58,.18,.18,.02,.04
16885,"Cincinnati, OH--KY--IN Urbanized Area",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",1,1624827,711373,2064989239,2040237609,1624827,711373,2064989239,2040237609,2130151,917396,11566300495,11374928023,100,100,100,100,76.28,77.54,17.85,17.94
16912,"Circleville, OH Urban Cluster",18140,"Columbus, OH Metro Area",1,14965,6603,19319384,19008269,14965,6603,19319384,19008269,1836536,792340,10396641233,10275003941,100,100,100,100,.81,.83,.19,.18
16939,"Cisco, TX Urban Cluster",99999,"Not in a metro/micro area",,3658,1703,6352142,6352142,3658,1703,6352142,6352142,,,,,100,100,100,100,,,,
17047,"Clanton, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",1,5785,2539,17349229,17302027,5785,2539,17349229,17302027,1128047,500025,13907647336,13673875552,100,100,100,100,.51,.51,.12,.13
17074,"Clare, MI Urban Cluster",34380,"Mount Pleasant, MI Micro Area",2,107,44,657720,654534,5597,2836,16884679,16027579,70311,28381,1496186077,1483225590,1.91,1.55,3.9,4.08,.15,.16,.04,.04
17074,"Clare, MI Urban Cluster",99999,"Not in a metro/micro area",,5490,2792,16226959,15373045,5597,2836,16884679,16027579,,,,,98.09,98.45,96.1,95.92,,,,
17101,"Claremont, NH Urban Cluster",17200,"Claremont, NH Micro Area",2,9598,4659,13627302,13588842,9598,4659,13627302,13588842,43742,22341,1429657870,1391635377,100,100,100,100,21.94,20.85,.95,.98
17128,"Claremore, OK Urban Cluster",46140,"Tulsa, OK Metro Area",1,25164,10453,53972090,53906598,25164,10453,53972090,53906598,937478,409820,16731556298,16237247624,100,100,100,100,2.68,2.55,.32,.33
17155,"Clarinda, IA Urban Cluster",99999,"Not in a metro/micro area",,5415,2113,6158800,6158800,5415,2113,6158800,6158800,,,,,100,100,100,100,,,,
17182,"Clarion, IA Urban Cluster",99999,"Not in a metro/micro area",,2639,1256,3744028,3744028,2639,1256,3744028,3744028,,,,,100,100,100,100,,,,
17209,"Clarion, PA Urban Cluster",99999,"Not in a metro/micro area",,9373,3927,17513128,17249462,9373,3927,17513128,17249462,,,,,100,100,100,100,,,,
17236,"Clarksburg, WV Urban Cluster",17220,"Clarksburg, WV Micro Area",2,43593,20394,99218227,99040472,43988,20581,100091247,99826703,94196,42918,2363812210,2353000625,99.1,99.09,99.13,99.21,46.28,47.52,4.2,4.21
17236,"Clarksburg, WV Urban Cluster",21900,"Fairmont, WV Micro Area",2,395,187,873020,786231,43988,20581,100091247,99826703,56418,26463,806828811,799620921,.9,.91,.87,.79,.7,.71,.11,.1
17263,"Clarksdale, MS Urban Cluster",17260,"Clarksdale, MS Micro Area",2,17783,7254,22031256,22014649,17783,7254,22031256,22014649,26151,10792,1510357701,1430818231,100,100,100,100,68,67.22,1.46,1.54
17290,"Clarksville, AR Urban Cluster",99999,"Not in a metro/micro area",,7313,3048,17576624,17439018,7313,3048,17576624,17439018,,,,,100,100,100,100,,,,
17317,"Clarksville, TN--KY Urbanized Area",17300,"Clarksville, TN-KY Metro Area",1,158655,62218,284266958,283776315,158655,62218,284266958,283776315,273949,114145,5807302983,5587753051,100,100,100,100,57.91,54.51,4.89,5.08
17344,"Clarksville, TX Urban Cluster",99999,"Not in a metro/micro area",,3121,1597,7246419,7246419,3121,1597,7246419,7246419,,,,,100,100,100,100,,,,
17371,"Claxton, GA Urban Cluster",99999,"Not in a metro/micro area",,4259,1758,8281626,8191779,4259,1758,8281626,8191779,,,,,100,100,100,100,,,,
17398,"Clay Center, KS Urban Cluster",99999,"Not in a metro/micro area",,4307,2146,5608574,5608574,4307,2146,5608574,5608574,,,,,100,100,100,100,,,,
17420,"Clayton, GA Urban Cluster",99999,"Not in a metro/micro area",,3372,1624,10109852,10102295,3372,1624,10109852,10102295,,,,,100,100,100,100,,,,
17452,"Clearfield, PA Urban Cluster",20180,"DuBois, PA Micro Area",2,10903,5346,15019464,14572486,10903,5346,15019464,14572486,81642,38644,2988750110,2964816225,100,100,100,100,13.35,13.83,.5,.49
17479,"Clearlake, CA Urban Cluster",17340,"Clearlake, CA Micro Area",2,15944,8553,18864794,18854601,15944,8553,18864794,18854601,64665,35492,3443189863,3254227528,100,100,100,100,24.66,24.1,.55,.58
17506,"Clear Lake, IA Urban Cluster",32380,"Mason City, IA Micro Area",2,7944,5140,17526823,17482422,7944,5140,17526823,17482422,51749,25711,2530574034,2508238380,100,100,100,100,15.35,19.99,.69,.7
17514,"Clearlake Riviera, CA Urban Cluster",17340,"Clearlake, CA Micro Area",2,2806,1601,7978662,7974633,2806,1601,7978662,7974633,64665,35492,3443189863,3254227528,100,100,100,100,4.34,4.51,.23,.25
17524,"Clearwood, WA Urban Cluster",36500,"Olympia, WA Metro Area",1,2611,1085,4239031,3409084,2611,1085,4239031,3409084,252264,108182,2003363109,1869871525,100,100,100,100,1.04,1,.21,.18
17533,"Cleburne, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1,35122,13562,45404568,45147075,35122,13562,45404568,45147075,6371773,2502075,24048612908,23122123423,100,100,100,100,.55,.54,.19,.2
17560,"Cle Elum, WA Urban Cluster",21260,"Ellensburg, WA Micro Area",2,3539,2172,7795727,7795727,3539,2172,7795727,7795727,40915,21900,6042274276,5949903934,100,100,100,100,8.65,9.92,.13,.13
17625,"Cleveland, GA Urban Cluster",99999,"Not in a metro/micro area",,4399,2027,12532454,12496400,4399,2027,12532454,12496400,,,,,100,100,100,100,,,,
17641,"Cleveland, MS Urban Cluster",17380,"Cleveland, MS Micro Area",2,15722,6392,21156134,21156134,15722,6392,21156134,21156134,34145,14070,2346056686,2270314566,100,100,100,100,46.04,45.43,.9,.93
17668,"Cleveland, OH Urbanized Area",10420,"Akron, OH Metro Area",1,108072,44587,229591161,226361916,1780673,832988,2016197381,1999397942,703200,312581,2393457808,2331323747,6.07,5.35,11.39,11.32,15.37,14.26,9.59,9.71
17668,"Cleveland, OH Urbanized Area",11780,"Ashtabula, OH Micro Area",2,114,63,198006,198006,1780673,832988,2016197381,1999397942,101497,46099,3542850296,1817993244,.01,.01,.01,.01,.11,.14,.01,.01
17668,"Cleveland, OH Urbanized Area",17460,"Cleveland-Elyria-Mentor, OH Metro Area",1,1672487,788338,1786408214,1772838020,1780673,832988,2016197381,1999397942,2077240,955756,10306662608,5173000356,93.92,94.64,88.6,88.67,80.51,82.48,17.33,34.27
17695,"Cleveland, OK Urban Cluster",46140,"Tulsa, OK Metro Area",1,3128,1459,4020988,4020988,3128,1459,4020988,4020988,937478,409820,16731556298,16237247624,100,100,100,100,.33,.36,.02,.02
17722,"Cleveland, TN Urbanized Area",11940,"Athens, TN Micro Area",2,444,213,3310847,3235662,66777,28182,141530238,141410470,52266,23341,1119349601,1114018337,.66,.76,2.34,2.29,.85,.91,.3,.29
17722,"Cleveland, TN Urbanized Area",17420,"Cleveland, TN Metro Area",1,66333,27969,138219391,138174808,66777,28182,141530238,141410470,115788,49386,2004089021,1977295461,99.34,99.24,97.66,97.71,57.29,56.63,6.9,6.99
17749,"Cleveland, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",1,9960,3760,23157251,23157251,9960,3760,23157251,23157251,5946800,2308205,26085660453,22863087517,100,100,100,100,.17,.16,.09,.1
17776,"Clewiston, FL Urban Cluster",17500,"Clewiston, FL Micro Area",2,12833,4633,12314435,12052458,12833,4633,12314435,12052458,39140,14564,3082074727,2985609243,100,100,100,100,32.79,31.81,.4,.4
17803,"Clifton, AZ Urban Cluster",40940,"Safford, AZ Micro Area",2,4508,2226,8800472,8714839,4508,2226,8800472,8714839,45657,17352,16807724143,16746145013,100,100,100,100,9.87,12.83,.05,.05
17830,"Clifton, TX Urban Cluster",99999,"Not in a metro/micro area",,3421,1494,5708539,5624208,3421,1494,5708539,5624208,,,,,100,100,100,100,,,,
17857,"Clifton Forge, VA Urban Cluster",40220,"Roanoke, VA Metro Area",1,44,19,115209,115209,5311,2678,10106919,9982155,308707,144987,4912590601,4839854582,.83,.71,1.14,1.15,.01,.01,0,0
17857,"Clifton Forge, VA Urban Cluster",99999,"Not in a metro/micro area",,5267,2659,9991710,9866946,5311,2678,10106919,9982155,,,,,99.17,99.29,98.86,98.85,,,,
17870,"Clifton Springs, NY Urban Cluster",40380,"Rochester, NY Metro Area",1,6444,2800,11215930,11215930,6444,2800,11215930,11215930,1054323,455397,12613210563,7583793600,100,100,100,100,.61,.61,.09,.15
17884,"Clinton, IL Urban Cluster",99999,"Not in a metro/micro area",,8487,3918,11397977,11386640,8487,3918,11397977,11386640,,,,,100,100,100,100,,,,
17911,"Clinton, IN Urban Cluster",45460,"Terre Haute, IN Metro Area",1,6425,3071,10052653,10018544,6425,3071,10052653,10018544,172425,74136,3845660911,3794007299,100,100,100,100,3.73,4.14,.26,.26
17938,"Clinton, IA--IL Urban Cluster",17540,"Clinton, IA Micro Area",2,28645,13080,36498381,35069047,32332,14871,46174081,42718985,49116,21733,1839345041,1799821282,88.6,87.96,79.05,82.09,58.32,60.18,1.98,1.95
17938,"Clinton, IA--IL Urban Cluster",44580,"Sterling, IL Micro Area",2,3687,1791,9675700,7649938,32332,14871,46174081,42718985,58498,25770,1803995335,1772198878,11.4,12.04,20.95,17.91,6.3,6.95,.54,.43
17965,"Clinton, MO Urban Cluster",99999,"Not in a metro/micro area",,8740,4332,14291105,14105179,8740,4332,14291105,14105179,,,,,100,100,100,100,,,,
17992,"Clinton, NC Urban Cluster",99999,"Not in a metro/micro area",,9538,4046,20738310,20686310,9538,4046,20738310,20686310,,,,,100,100,100,100,,,,
18019,"Clinton, OK Urban Cluster",48220,"Weatherford, OK Micro Area",2,8426,3506,9133610,9133610,8426,3506,9133610,9133610,27469,12204,2595346419,2561024716,100,100,100,100,30.67,28.73,.35,.36
18046,"Clinton, SC Urban Cluster",24860,"Greenville-Mauldin-Easley, SC Metro Area",1,11176,4663,23912594,23812166,11176,4663,23912594,23812166,636986,277415,5259573307,5167881337,100,100,100,100,1.75,1.68,.45,.46
18100,"Clintonville, WI Urban Cluster",99999,"Not in a metro/micro area",,4481,2199,6347188,5845826,4481,2199,6347188,5845826,,,,,100,100,100,100,,,,
18127,"Cloquet, MN Urban Cluster",20260,"Duluth, MN-WI Metro Area",1,12936,5570,24971862,24385877,12936,5570,24971862,24385877,279771,141539,23865346621,21789357707,100,100,100,100,4.62,3.94,.1,.11
18154,"Clover, SC Urban Cluster",16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",1,6513,2629,14337563,14308216,6513,2629,14337563,14308216,1758038,737775,8150442295,7990592664,100,100,100,100,.37,.36,.18,.18
18181,"Cloverdale, CA Urban Cluster",42220,"Santa Rosa-Petaluma, CA Metro Area",1,9166,3652,8725843,8725843,9166,3652,8725843,8725843,483878,204572,4578960489,4081430136,100,100,100,100,1.89,1.79,.19,.21
18208,"Clovis, NM Urban Cluster",17580,"Clovis, NM Micro Area",2,41570,17193,58699126,58459442,41570,17193,58699126,58459442,48376,20062,3646581486,3638407189,100,100,100,100,85.93,85.7,1.61,1.61
18235,"Clyde, OH Urban Cluster",23380,"Fremont, OH Micro Area",2,6039,2573,8562217,8428509,6039,2573,8562217,8428509,60944,26390,1081856578,1057888420,100,100,100,100,9.91,9.75,.79,.8
18262,"Clyde, TX Urban Cluster",10180,"Abilene, TX Metro Area",1,3768,1653,7356481,7356481,3768,1653,7356481,7356481,165252,69721,7142424576,7105575299,100,100,100,100,2.28,2.37,.1,.1
18289,"Coalinga, CA Urban Cluster",23420,"Fresno, CA Metro Area",1,12702,4398,15382945,15303218,12702,4398,15382945,15303218,930450,315531,15568942406,15431126407,100,100,100,100,1.37,1.39,.1,.1
18316,"Coamo, PR Urban Cluster",17620,"Coamo, PR Micro Area",2,31387,12937,39553022,39531103,38047,15449,47959792,47915411,71590,31096,497661896,381705801,82.5,83.74,82.47,82.5,43.84,41.6,7.95,10.36
18316,"Coamo, PR Urban Cluster",42180,"Santa Isabel, PR Micro Area",2,6660,2512,8406770,8384308,38047,15449,47959792,47915411,23274,9575,199284809,88119917,17.5,16.26,17.53,17.5,28.62,26.23,4.22,9.51
18343,"Cobleskill, NY Urban Cluster",10580,"Albany-Schenectady-Troy, NY Metro Area",1,5618,2248,8179954,8170567,5618,2248,8179954,8170567,870716,393297,7454547427,7281892392,100,100,100,100,.65,.57,.11,.11
18370,"Cochran, GA Urban Cluster",99999,"Not in a metro/micro area",,6324,2397,12133956,11947968,6324,2397,12133956,11947968,,,,,100,100,100,100,,,,
18383,"Coco--Salinas, PR Urban Cluster",17620,"Coamo, PR Micro Area",2,18941,8803,15605078,15566672,22102,10241,19856778,19807099,71590,31096,497661896,381705801,85.7,85.96,78.59,78.59,26.46,28.31,3.14,4.08
18383,"Coco--Salinas, PR Urban Cluster",42180,"Santa Isabel, PR Micro Area",2,3161,1438,4251700,4240427,22102,10241,19856778,19807099,23274,9575,199284809,88119917,14.3,14.04,21.41,21.41,13.58,15.02,2.13,4.81
18397,"Cody, WY Urban Cluster",99999,"Not in a metro/micro area",,9338,4553,16471000,16441112,9338,4553,16471000,16441112,,,,,100,100,100,100,,,,
18424,"Coeburn, VA Urban Cluster",99999,"Not in a metro/micro area",,3179,1419,6841377,6796323,3179,1419,6841377,6796323,,,,,100,100,100,100,,,,
18451,"Coeur d'Alene, ID Urbanized Area",17660,"Coeur d'Alene, ID Metro Area",1,98378,42666,124019427,122348737,98378,42666,124019427,122348737,138494,63177,3407447924,3222267856,100,100,100,100,71.03,67.53,3.64,3.8
18478,"Coffeyville, KS--OK Urban Cluster",17700,"Coffeyville, KS Micro Area",2,10109,4937,15892794,15870508,10909,5323,17569471,17547185,35471,16578,1687330028,1666728264,92.67,92.75,90.46,90.44,28.5,29.78,.94,.95
18478,"Coffeyville, KS--OK Urban Cluster",99999,"Not in a metro/micro area",,800,386,1676677,1676677,10909,5323,17569471,17547185,,,,,7.33,7.25,9.54,9.56,,,,
18505,"Cokato, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1,2834,1142,5003865,5003865,4244,1752,8351738,7726527,3279833,1354973,16482106382,15610299031,66.78,65.18,59.91,64.76,.09,.08,.03,.03
18505,"Cokato, MN Urban Cluster",99999,"Not in a metro/micro area",,1410,610,3347873,2722662,4244,1752,8351738,7726527,,,,,33.22,34.82,40.09,35.24,,,,
18532,"Colby, KS Urban Cluster",99999,"Not in a metro/micro area",,5463,2465,7751897,7751897,5463,2465,7751897,7751897,,,,,100,100,100,100,,,,
18559,"Colchester, CT Urban Cluster",25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1,1428,872,8384234,7686460,10098,4229,38549436,37817674,1212381,507049,4161422348,3922826533,14.14,20.62,21.75,20.33,.12,.17,.2,.2
18559,"Colchester, CT Urban Cluster",35980,"Norwich-New London, CT Metro Area",1,8670,3357,30165202,30131214,10098,4229,38549436,37817674,274055,120994,1998691725,1722025951,85.86,79.38,78.25,79.67,3.16,2.77,1.51,1.75
18586,"Cold Spring, MN Urban Cluster",41060,"St. Cloud, MN Metro Area",1,4324,1774,6379465,6329914,4324,1774,6379465,6329914,189093,78114,4669772154,4536191976,100,100,100,100,2.29,2.27,.14,.14
18613,"Cold Spring, NY Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",1,3276,1507,7303673,7189686,3276,1507,7303673,7189686,18897109,7527752,23857986221,17318990602,100,100,100,100,.02,.02,.03,.04
18667,"Coldwater, MI Urban Cluster",17740,"Coldwater, MI Micro Area",2,16876,6240,30036095,29846177,16876,6240,30036095,29846177,45248,20841,1345954024,1311488743,100,100,100,100,37.3,29.94,2.23,2.28
18680,"Coldwater, OH Urban Cluster",16380,"Celina, OH Micro Area",2,4473,1833,4879352,4874361,4473,1833,4879352,4874361,40814,17633,1226164284,1197736887,100,100,100,100,10.96,10.4,.4,.41
18694,"Coleman, TX Urban Cluster",99999,"Not in a metro/micro area",,4310,2356,6475354,6475354,4310,2356,6475354,6475354,,,,,100,100,100,100,,,,
18712,"Colfax, CA Urban Cluster",40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",1,3144,1438,6283224,6283224,3144,1438,6283224,6283224,2149127,871793,13743475724,13193980701,100,100,100,100,.15,.16,.05,.05
18721,"Colfax, WA Urban Cluster",39420,"Pullman, WA Micro Area",2,2720,1369,3352759,3343284,2720,1369,3352759,3343284,44776,19323,5639956178,5592015929,100,100,100,100,6.07,7.08,.06,.06
18748,"College Station--Bryan, TX Urbanized Area",17780,"College Station-Bryan, TX Metro Area",1,171345,68363,185330048,184986507,171345,68363,185330048,184986507,228660,95016,5525489620,5439375936,100,100,100,100,74.93,71.95,3.35,3.4
18760,"Collinsville, OK Urban Cluster",46140,"Tulsa, OK Metro Area",1,4248,1828,7260290,7246073,4248,1828,7260290,7246073,937478,409820,16731556298,16237247624,100,100,100,100,.45,.45,.04,.04
18775,"Colonial Beach, VA Urban Cluster",99999,"Not in a metro/micro area",,3693,2457,4604576,4588370,3693,2457,4604576,4588370,,,,,100,100,100,100,,,,
18802,"Colorado City, AZ--UT Urban Cluster",29420,"Lake Havasu City-Kingman, AZ Metro Area",1,5836,769,11727087,11706585,8233,1006,13888252,13867750,200186,110911,34862918316,34475546921,70.89,76.44,84.44,84.42,2.92,.69,.03,.03
18802,"Colorado City, AZ--UT Urban Cluster",41100,"St. George, UT Metro Area",1,2397,237,2161165,2161165,8233,1006,13888252,13867750,138115,57734,6293544792,6284236933,29.11,23.56,15.56,15.58,1.74,.41,.03,.03
18829,"Colorado City, TX Urban Cluster",99999,"Not in a metro/micro area",,5948,1734,6834119,6834119,5948,1734,6834119,6834119,,,,,100,100,100,100,,,,
18856,"Colorado Springs, CO Urbanized Area",17820,"Colorado Springs, CO Metro Area",1,559360,229689,487303779,486318239,559409,229712,487478800,486493260,645613,265495,6963213019,6951156867,99.99,99.99,99.96,99.96,86.64,86.51,7,7
18856,"Colorado Springs, CO Urbanized Area",19740,"Denver-Aurora-Broomfield, CO Metro Area",1,49,23,175021,175021,559409,229712,487478800,486493260,2543482,1078837,21763389479,21616193637,.01,.01,.04,.04,0,0,0,0
18883,"Columbia, KY Urban Cluster",99999,"Not in a metro/micro area",,4579,1901,8804644,8744041,4579,1901,8804644,8744041,,,,,100,100,100,100,,,,
18910,"Columbia, MS Urban Cluster",99999,"Not in a metro/micro area",,7294,3106,17054537,16989091,7294,3106,17054537,16989091,,,,,100,100,100,100,,,,
18937,"Columbia, MO Urbanized Area",17860,"Columbia, MO Metro Area",1,124748,53568,160757993,160085068,124748,53568,160757993,160085068,172786,74133,3010888979,2976575759,100,100,100,100,72.2,72.26,5.34,5.38
18964,"Columbia, SC Urbanized Area",17900,"Columbia, SC Metro Area",1,549764,233471,1000036027,984219467,549777,233477,1000075529,984258969,767598,331470,9930070042,9590077580,100,100,100,100,71.62,70.44,10.07,10.26
18964,"Columbia, SC Urbanized Area",35140,"Newberry, SC Micro Area",2,13,6,39502,39502,549777,233477,1000075529,984258969,37508,17922,1676463477,1631788278,0,0,0,0,.03,.03,0,0
18991,"Columbia, TN Urban Cluster",17940,"Columbia, TN Micro Area",2,34965,16072,64291449,64291449,34965,16072,64291449,64291449,80956,35254,1594340444,1588021250,100,100,100,100,43.19,45.59,4.03,4.05
19018,"Columbia City, IN Urban Cluster",23060,"Fort Wayne, IN Metro Area",1,9225,4113,15930770,15875483,9225,4113,15930770,15875483,416257,178124,3543580719,3524882060,100,100,100,100,2.22,2.31,.45,.45
19045,"Columbia Falls, MT Urban Cluster",28060,"Kalispell, MT Micro Area",2,6029,2551,11780667,11777970,6029,2551,11780667,11777970,90928,46963,13614114813,13176979222,100,100,100,100,6.63,5.43,.09,.09
19060,"Columbiana, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",1,2642,812,7010033,6983453,2642,812,7010033,6983453,1128047,500025,13907647336,13673875552,100,100,100,100,.23,.16,.05,.05
19072,"Columbiana, OH Urban Cluster",20620,"East Liverpool-Salem, OH Micro Area",2,7433,3573,14028927,14028259,8101,3902,15704978,15526597,107841,47088,1384837162,1377597314,91.75,91.57,89.33,90.35,6.89,7.59,1.01,1.02
19072,"Columbiana, OH Urban Cluster",49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",1,668,329,1676051,1498338,8101,3902,15704978,15526597,565773,259729,4518126658,4409440312,8.25,8.43,10.67,9.65,.12,.13,.04,.03
19099,"Columbus, GA--AL Urbanized Area",12220,"Auburn-Opelika, AL Metro Area",1,27065,10869,72633525,72132942,253602,109208,384039053,380849589,140247,62391,1595041090,1573510728,10.67,9.95,18.91,18.94,19.3,17.42,4.55,4.58
19099,"Columbus, GA--AL Urbanized Area",17980,"Columbus, GA-AL Metro Area",1,226537,98339,311405528,308716647,253602,109208,384039053,380849589,294865,128214,5075859542,5014563083,89.33,90.05,81.09,81.06,76.83,76.7,6.14,6.16
19126,"Columbus, IN Urbanized Area",18020,"Columbus, IN Metro Area",1,50912,22588,67764713,67024096,54933,24302,71319692,70579075,76794,33098,1060664802,1053886348,92.68,92.95,95.02,94.96,66.3,68.25,6.39,6.36
19126,"Columbus, IN Urbanized Area",26900,"Indianapolis-Carmel, IN Metro Area",1,4021,1714,3554979,3554979,54933,24302,71319692,70579075,1756241,757441,10069343924,9983000540,7.32,7.05,4.98,5.04,.23,.23,.04,.04
